종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"276970","KODEX 미국S&P고배당커버드콜(합성 H)","10435","85","0.82","10449.33","10380","10435","10380","18822","195676425","38609500000","0","3700000","S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index","136.56","-0.08","-0.06"
"185680","KODEX 미국S&P바이오(합성)","29470","-20","-0.07","29222.59","29455","29470","29300","1491","43744635","9577750000","0","325000","S&P Biotechnology Select Industry Index","8810.95","43.28","0.49"
"200030","KODEX 미국S&P산업재(합성)","22000","50","0.23","21977.48","21920","22000","21805","2327","50917605","12628000000","0","574000","S&P Select Sector Industrial Index","1061.81","-4.18","-0.39"
"218420","KODEX 미국S&P에너지(합성)","7780","-90","-1.14","7785.45","7720","7820","7720","3115","24268300","23682320000","0","3044000","S&P Select Sector Energy Index","581.24","-3.96","-0.68"
"379810","KODEX 미국나스닥100TR","12910","-10","-0.08","12902.63","12860","12910","12815","313893","4036105090","276274000000","0","21400000","NASDAQ-100 Total Return Index","19346.18","-72.28","-0.37"
"409820","KODEX 미국나스닥100레버리지(합성 H)","10145","-90","-0.88","10162.12","10135","10170","10100","240682","2437336995","50725000000","0","5000000","NASDAQ 100","16429.10","-61.91","-0.38"
"304940","KODEX 미국나스닥100선물(H)","20910","-85","-0.40","20922.88","20890","20925","20860","95551","1996498200","101413500000","0","4850000","NASDAQ 100","16429.10","-61.91","-0.38"
"409810","KODEX 미국나스닥100선물인버스(H)","9870","60","0.61","9865.29","9845","9870","9840","252479","2489933175","29610000000","0","3000000","NASDAQ 100","16429.10","-61.91","-0.38"
"261240","KODEX 미국달러선물","10515","15","0.14","10529.07","10490","10515","10465","98169","1029609160","109881750000","0","10450000","미국달러선물지수","1246.67","3.45","0.28"
"261250","KODEX 미국달러선물레버리지","10150","25","0.25","10174.06","10105","10150","10060","73999","747833860","21416500000","0","2110000","미국달러선물지수","1246.67","3.45","0.28"
"261270","KODEX 미국달러선물인버스","9610","-40","-0.41","9624.86","9660","9665","9610","4788","46176150","5669900000","0","590000","미국달러선물지수","1246.67","3.45","0.28"
"261260","KODEX 미국달러선물인버스2X","8750","-40","-0.46","8742.11","8800","8835","8750","23465","206673510","7787500000","0","890000","미국달러선물지수","1246.67","3.45","0.28"
"280930","KODEX 미국러셀2000(H)","14525","-25","-0.17","14644.26","14620","14620","14500","91167","1323445960","29050000000","0","2000000","FTSE Russell 2000 Index","2248.79","-0.45","-0.02"
"411420","KODEX 미국메타버스나스닥액티브","10145","-45","-0.44","10178.82","10145","10150","10080","2383447","24099140075","116667500000","0","11500000","Nasdaq Yewno Metaverse Index (Price Return)","1026.69","-1.71","-0.17"
"390390","KODEX 미국반도체MV","12630","-40","-0.32","12680.11","12660","12660","12570","71515","901487005","54309000000","0","4300000","MVIS US Listed Semiconductor 25 Index","4665.34","-55.95","-1.19"
"390400","KODEX 미국스마트모빌리티S&P","9335","-105","-1.11","9197.91","9325","9335","9260","13271","123305775","13069000000","0","1400000","S&P Kensho Smart Transportation","326.26","5.93","1.85"
"308620","KODEX 미국채10년선물","11855","-20","-0.17","11849.15","11800","11855","11780","12837","151868435","14226000000","0","1200000","S&P 10-Year U.S. Treasury Note Futures KRW(ER)","234.58","0.79","0.34"
"304660","KODEX 미국채울트라30년선물(H)","12470","-200","-1.58","12474.65","12465","12470","12445","42002","523320605","23693000000","0","1900000","S&P Ultra T-Bond Futures Index(ER)","192.95","0.95","0.49"
"304670","KODEX 미국채울트라30년선물인버스(H)","7270","105","1.47","7274.09","7275","7285","7270","4122","29991985","6543000000","0","900000","S&P Ultra T-Bond Futures Index(ER)","192.95","0.95","0.49"
